Team,"Historic Score 

as of 2013/14","Historic score
Feat Scale
as of 2013/14","Average Odds
HomeWin 2014/15",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2014/15","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic","WINS
median Odds","SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spread odds",Higher Than Pinnacle,
Aachen,53,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,"-0,822","-0,825","-0,812","-0,684",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Augsburg,125,"1,21","2,85","2,20","2,52","0,53","2,37",,,,,"3,12","1,360","3,19","4,19","-1,00","4,19","0,89","16,00"
Bayern Munich,592,"2,00","1,19","1,17","1,18","0,82","1,57",,,,,"-1,71","-1,000","-1,66","3,34","0,00","-0,66","0,00","12,00"
Bielefeld,233,"1,39","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Bochum,289,"1,49","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Braunschweig,52,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Cottbus,159,"1,27","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Darmstadt,12,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Dortmund,550,"1,93","1,52","1,36","1,44","0,53","1,94",,,,,"-4,62","-1,000","-4,55","-3,55","0,00","-3,55","-1,00","16,00"
Duisburg,92,"1,16","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Ein Frankfurt,374,"1,63","3,33","2,30","2,82","0,53","2,11",,,,,"5,63","5,630","5,58","9,58","-1,00","7,58","-1,00","13,00"
FC Koln,257,"1,43","3,17","2,40","2,78","0,24","2,26",,,,,"-3,88","1,125","-3,85","0,15","-1,00","-1,85","-1,00","13,00"
Fortuna Dusseldorf,53,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Freiburg,293,"1,49","3,17","2,71","2,94","0,29","2,22",,,,,"0,45","0,450","0,53","0,53","0,00","0,53","0,00","17,00"
Greuther Furth,52,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
