Team,"Historic Score 

as of 2019/20","Historic score
Feat Scale
as of 2019/20","Average Odds
HomeWin 2020/21",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2020/21","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""",Small Spread Odds,HIgher Than Pinnacle,
Aachen,59,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,"-0,830","-0,802","-0,842","-0,455",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Augsburg,359,"1,40","4,14","3,53","3,83","0,35","2,25",,,,,"6,04","6,020",6,"6,04",0,"6,04",0,17
Bayern Munich,892,"2,00","1,27","1,22","1,24","0,76","1,57",,,,,"-1,73","-0,350","-1,77","1,27",0,"-0,73","0,1125",14
Bielefeld,247,"1,28","4,86","4,09","4,47","0,35","2,41",,,,,"1,55","0,800","1,44","2,55",-1,"2,55",0,16
Bochum,295,"1,33","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Braunschweig,58,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Cottbus,165,"1,18","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Darmstadt,94,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Dortmund,836,"1,94","1,62","1,50","1,56","0,65","1,83",,,,,"-2,33","0,158","-2,38","3,67",0,"-1,33",0,11
Duisburg,98,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Ein Frankfurt,620,"1,70","2,31","1,93","2,12","0,59","1,99",,,,,"5,14","6,913","5,115","8,14",0,"6,14",0,14
FC Koln,463,"1,52","4,13","3,18","3,65","0,18","2,24",,,,,"-5,74","-4,088","-5,785","-2,74",-1,"-3,74",-1,14
Fortuna Dusseldorf,140,"1,16","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Freiburg,497,"1,56","3,19","2,65","2,92","0,41","2,13",,,,,"0,74","-0,730","0,72","2,75",0,"0,74",0,15
Greuther Furth,58,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hamburg,669,"1,75","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hannover,643,"1,72","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Hertha,671,"1,75","2,92","2,35","2,63","0,29","2,05",,,,,"-5,27","-3,975","-5,35","-4,27",0,"-5,27",0,16
Hoffenheim,516,"1,58","2,92","2,10","2,51","0,47","2,07",,,,,"8,60","6,720","8,755","11,60","9,6975","9,60",0,14
Ingolstadt,98,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Kaiserslautern,244,"1,27","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Karlsruhe,98,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Leverkusen,817,"1,92","2,05","1,83","1,94","0,47","1,82",,,,,"-1,01","1,500","-1,055","-0,01",0,"-1,01",0,16
Mainz,578,"1,65","3,84","3,13","3,48","0,24","2,11",,,,,"5,26","5,255","5,35","8,26",0,"7,26","6,87",14
Mgladbach,715,"1,80","2,12","1,79","1,96","0,47","1,94",,,,,"2,99","7,633","2,9","6,99",0,"2,99",0,13
Munich 1860,91,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Nurnberg,454,"1,51","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Paderborn,98,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
RB Leipzig,212,"1,24","1,62","1,40","1,51","0,65","2,01",,,,,"-2,68","-3,000","-2,73","0,33",0,"-1,68",0,14
Schalke 04,810,"1,91","5,61","3,75","4,68","0,18","1,96",,,,,"2,72","2,723","2,625","5,72",-1,"4,72",-1,14
St Pauli,58,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Stuttgart,699,"1,78","2,93","2,40","2,67","0,29","1,98",,,,,"-7,18","-8,300","-7,175","-3,18",0,"-6,18",0,13
Union Berlin,65,"1,07","2,92","2,38","2,65","0,47","2,52",,,,,"4,13","2,015","4,08","7,13",0,"6,13","0,835",14
Werder Bremen,774,"1,87","3,85","2,89","3,37","0,18","1,98",,,,,"-8,27","-6,270","-8,31","-6,27",0,"-6,27",0,15
Wolfsburg,753,"1,84","2,24","2,00","2,12","0,59","1,87",,,,,"1,46","0,307","1,385","4,46",0,"2,46",0,14
Heidenheim,18,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
,,,,,,,,,,,,"4,41","13,33","3,82","52,41","6,70","22,41","5,82","258,00"
