MatchID,Matchday,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,CurrentRankHT,CurrentRankAT,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,Historic,IF [ H ] w/Great Odds,"All Bets ""Great Odds""",If [ H ] weighted Odds,If [ H ] median Odds,If [ H ] small Spread,All small Spread,If [ H ] big spread,All big spread,Small Spread Odds,"Weighted to Median
(Nearest)","Weighted to Median
(Nearest) Relative","If Higher than
Pinnacle"
0,1,05/08/2022,19:30,Ein Frankfurt,Bayern Munich,1,6,A,0,5,A,8,23,2,10,10,11,5,6,2,0,0,0,#N/A,#N/A,"6,15","5,25","1,60","5,82","4,96","1,49","6,00","5,00","1,50","5,75","4,80","1,44","4,90","4,50","1,60","5,84","5,13","1,52","5,80","4,60","1,50","6,00","5,00","1,45","6,15","5,25","1,60","5,82","4,96","1,49","1,40","3,00","1,42","3,02","1,44","3,20","1,39","2,94","1,25","1,91","2,02","1,88","2,04","1,91","2,06","1,87","2,00","6,00","5,00","1,44","6,00","5,00","1,42","5,00","4,70","1,57","6,24","5,30","1,48","6,50","4,75","1,44","6,00","5,00","1,45","6,54","5,40","1,57","5,97","5,08","1,47","1,40","3,00","1,39","3,16","1,42","3,19","1,39","3,03","1,25","2,00","1,93","2,00","1,93","2,01","2,00","1,93","1,94",,,,,,,,,,,,,
1,1,06/08/2022,14:30,Augsburg,Freiburg,0,4,A,0,0,D,10,19,2,7,13,13,5,8,0,0,0,0,#N/A,#N/A,"3,57","3,62","2,25","3,39","3,51","2,15","3,30","3,50","2,15","3,30","3,40","2,15","3,20","3,40","2,25","3,53","3,59","2,17","3,30","3,40","2,15","3,40","3,50","2,10","3,57","3,62","2,25","3,39","3,51","2,15","1,92","1,98","1,92","1,99","1,94","2,00","1,88","1,93","0,25","2,06","1,87","2,05","1,88","2,06","1,88","2,01","1,85","3,40","3,60","2,10","3,40","3,50","2,10","3,30","3,40","2,20","3,51","3,54","2,20","3,50","3,40","2,10","3,40","3,50","2,15","3,68","3,66","2,20","3,46","3,51","2,14","1,91","1,99","1,92","1,98","1,93","2,03","1,87","1,95","0,25","2,04","1,89","2,04","1,88","2,08","1,89","2,03","1,84",,,,,,,,,,,,,
2,1,06/08/2022,14:30,Bochum,Mainz,1,2,A,1,1,D,16,13,3,6,11,16,3,5,2,3,0,0,#N/A,#N/A,"3,38","3,50","2,32","3,23","3,42","2,26","3,20","3,40","2,20","3,10","3,40","2,25","3,15","3,40","2,25","3,34","3,43","2,32","3,25","3,30","2,25","3,13","3,50","2,20","3,38","3,50","2,32","3,23","3,42","2,26","1,96","1,94","1,96","1,94","2,02","1,97","1,93","1,89","0,25","1,95","1,98","1,93","1,99","1,96","1,99","1,91","1,94","3,40","3,40","2,15","3,25","3,40","2,20","3,30","3,30","2,25","3,37","3,43","2,30","3,40","3,30","2,15","3,20","3,50","2,20","3,48","3,55","2,30","3,31","3,43","2,23","1,90","2,00","1,90","2,01","1,94","2,05","1,86","1,97","0,25","1,95","1,98","1,95","1,97","1,99","1,99","1,93","1,93",,,,,,,,,,,,,
3,1,06/08/2022,14:30,Mgladbach,Hoffenheim,3,1,H,1,1,D,18,2,8,1,18,12,4,2,1,4,0,1,#N/A,#N/A,"2,23","4,22","3,26","2,14","4,04","3,05","2,05","4,20","3,00","2,15","3,90","3,00","2,20","3,75","3,05","2,15","4,22","3,12","2,10","3,80","3,10","2,10","4,10","2,90","2,23","4,22","3,26","2,14","4,04","3,05","1,36","3,20","1,39","3,20","1,44","3,27","1,37","3,09","-0,25","1,91","2,02","1,90","2,03","1,94","2,03","1,89","1,99","2,00","4,00","3,20","2,10","3,80","3,10","2,10","3,70","3,35","2,08","4,08","3,38","2,00","3,80","3,40","2,05","4,00","3,20","2,21","4,12","3,51","2,05","3,97","3,31","1,44","2,75","1,47","2,83","1,47","2,93","1,44","2,81","-0,50","2,06","1,87","2,08","1,85","2,10","1,88","2,04","1,84",,,,,,,,,,,,,
4,1,06/08/2022,14:30,Union Berlin,Hertha,3,1,H,1,0,H,18,9,8,3,23,17,5,4,2,3,0,0,#N/A,#N/A,"1,82","3,90","5,00","1,77","3,73","4,70","1,72","3,75","4,50","1,78","3,60","4,60","1,80","3,75","4,40","1,79","3,78","4,97","1,75","3,60","4,75","1,73","3,75","4,60","1,82","3,90","5,00","1,77","3,73","4,70","2,06","1,84","2,06","1,86","2,06","1,90","2,00","1,83","-0,75","2,01","1,92","2,03","1,90","2,07","1,93","1,99","1,88","1,85","3,60","4,20","1,87","3,50","4,20","1,90","3,65","4,20","1,91","3,68","4,37","1,88","3,40","4,20","1,87","3,70","4,10","1,93","3,86","4,87","1,87","3,62","4,30","1,94","1,96","1,93","1,97","2,00","2,03","1,90","1,92","-0,50","1,90","2,03","1,91","2,01","1,93","2,05","1,88","1,99",,,,,,,,,,,,,
5,1,06/08/2022,14:30,Wolfsburg,Werder Bremen,2,2,D,1,2,A,13,10,3,5,11,14,2,5,2,2,0,0,#N/A,#N/A,"1,94","3,85","4,30","1,88","3,74","4,06","1,85","3,80","3,80","1,85","3,75","4,00","1,90","3,70","3,90","1,93","3,70","4,29","1,85","3,70","4,00","1,85","3,80","3,90","1,94","3,85","4,30","1,88","3,74","4,06","1,80","2,00","1,83","2,07","1,84","2,13","1,78","2,06","-0,50","1,91","2,02","1,93","2,00","1,93","2,03","1,89","1,98","2,05","3,60","3,40","2,10","3,60","3,40","2,05","3,60","3,45","2,15","3,66","3,53","2,05","3,60","3,40","2,10","3,60","3,40","2,15","3,85","4,15","2,08","3,63","3,50","1,72","2,10","1,78","2,14","1,81","2,23","1,76","2,09","-0,50","2,05","1,75","2,14","1,79","2,14","1,83","2,09","1,79",,,,,,,,,,,,,
6,1,06/08/2022,17:30,Dortmund,Leverkusen,1,0,H,1,0,H,13,8,4,3,14,13,3,3,2,4,0,1,#N/A,#N/A,"2,12","4,36","3,34","2,06","4,12","3,19","2,00","4,20","3,20","2,05","4,00","3,10","2,05","4,10","3,10","2,08","4,22","3,28","2,05","3,90","3,20","2,00","4,20","3,10","2,12","4,36","3,34","2,06","4,12","3,19","1,40","3,00","1,41","3,09","1,43","3,20","1,39","3,01","-0,50","2,06","1,87","2,08","1,85","2,10","1,88","2,05","1,82","2,00","4,10","3,20","2,05","3,90","3,10","2,05","3,85","3,35","2,10","4,02","3,35","2,00","3,90","3,30","2,05","4,10","3,13","2,13","4,24","3,49","2,05","3,98","3,26","1,44","2,75","1,45","2,95","1,47","3,18","1,42","2,83","-0,50","2,11","1,82","2,09","1,85","2,11","1,85","2,05","1,82",,,,,,,,,,,,,
7,1,07/08/2022,14:30,Stuttgart,RB Leipzig,1,1,D,1,1,D,11,27,2,9,14,9,1,9,2,1,0,0,#N/A,#N/A,"4,67","4,12","1,84","4,35","3,92","1,79","4,50","3,80","1,75","4,20","3,75","1,80","4,40","3,65","1,83","4,44","4,12","1,80","4,50","3,75","1,75","4,20","3,90","1,75","4,67","4,12","1,84","4,35","3,92","1,79","1,72","2,10","1,78","2,15","1,82","2,17","1,75","2,09","0,75","1,89","2,04","1,89","2,04","1,89","2,05","1,86","2,01","3,60","3,60","2,00","3,50","3,60","2,00","3,70","3,70","1,95","4,08","3,80","1,94","3,70","3,60","1,95","3,50","3,80","2,00","4,10","3,92","2,05","3,79","3,72","1,96","1,72","2,10","1,83","2,08","1,83","2,15","1,78","2,06","0,50","1,87","2,06","1,98","1,94","1,98","2,06","1,90","1,96",,,,,,,,,,,,,
8,1,07/08/2022,16:30,FC Koln,Schalke 04,3,1,H,0,0,D,30,6,10,2,8,10,9,1,0,1,0,1,#N/A,#N/A,"1,80","4,33","4,88","1,73","4,14","4,48","1,70","4,00","4,50","1,71","3,90","4,60","1,80","3,85","4,30","1,75","4,28","4,58","1,70","3,90","4,60","1,70","4,20","4,33","1,80","4,33","4,88","1,73","4,14","4,48","1,57","2,37","1,57","2,55","1,58","2,55","1,54","2,47","-0,75","1,93","2,00","1,94","1,98","1,94","2,02","1,91","1,96","2,05","3,75","3,40","2,00","3,60","3,60","1,97","3,70","3,65","2,11","3,64","3,64","2,05","3,60","3,40","2,05","3,80","3,30","2,14","3,90","4,00","2,01","3,67","3,65","1,80","2,00","1,80","2,11","1,80","2,26","1,72","2,14","-0,50","2,11","1,82","2,11","1,83","2,14","1,99","2,00","1,87",,,,,,,,,,,,,
9,2,12/08/2022,19:30,Freiburg,Dortmund,1,3,A,1,0,H,16,16,7,7,16,10,9,2,1,3,0,0,7,2,"3,18","3,90","2,33","3,06","3,74","2,25","3,00","3,75","2,20","2,95","3,60","2,25","2,95","3,60","2,30","3,15","3,83","2,26","3,00","3,60","2,25","3,00","3,75","2,20","3,18","3,90","2,33","3,06","3,74","2,25","1,57","2,37","1,63","2,40","1,63","2,49","1,58","2,40","0,25","1,93","1,97","1,94","1,98","1,94","1,99","1,90","1,95","2,90","3,75","2,25","2,90","3,60","2,30","2,85","3,50","2,40","3,07","3,73","2,34","3,00","3,50","2,25","2,88","3,75","2,30","3,23","3,90","2,41","2,98","3,70","2,30","1,57","2,37","1,63","2,41","1,63","2,53","1,58","2,40","0,25","1,87","2,03","1,89","2,03","1,99","2,06","1,86","2,01","2,41","0,00","3,03","0,00","0,00","0,00","0,06","0,00","0,00","3,00","3,00","99,01%","0,00"
