MatchID,Machtday,Date,,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,CurrentRankHT,CurrentRankAT,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,"BbMx>2,5","BbAv>2,5","BbMx<2,5","BbAv<2,5",BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Historic,IF [ H ] w/Great Odds,"All Bets ""Great Odds""",If [ H ] weighted Odds,If [ H ] median Odds,If [ H ] small Spread,All small Spread,If [ H ] big spread,All big spread,Small Spread odds,"Weighted to Median
(Nearest)",Higher Than Pinnacle,"Weighted to Median
(Nearest) Relative"
0,1,24/08/12,,Dortmund,Werder Bremen,2,1,H,1,0,H,19,10,6,3,18,14,7,2,2,2,0,0,#N/A,#N/A,"1,30","5,50","9,00","1,33","5,25","9,25","1,33","5,25","9,25","1,37","4,30","7,20","1,33","5,00","9,00","1,32","5,88","10,80","1,30","5,50","9,00","1,29","5,25","10,00","1,30","5,75","11,50","1,29","5,50","9,00","37,00","1,35","1,30","5,91","5,45",11,"9,71",25,"1,6","1,52","2,65","2,45",22,"-1,5","1,91","1,85","2,1","02,03","1,29","6,37","11,2",,,,,,,,,,,,,
1,1,25/08/12,,Augsburg,Fortuna Dusseldorf,0,2,A,0,0,D,16,9,4,4,16,14,3,0,3,2,0,0,#N/A,#N/A,"2,00","3,50","3,60","2,10","3,30","3,40","2,10","3,30","3,40","2,20","3,20","3,00","2,00","3,30","3,75","2,08","3,52","3,92","2,10","3,40","3,40","2,05","3,30","3,50","2,05","3,50","3,90","2,00","3,40","3,60","37,00","2,20","2,05","3,52","3,37","3,92","3,58",33,"02,09","02,01","1,87","1,79",20,"-0,25","1,84","1,76","2,19","2,13","02,08","3,45","04,01",,,,,,,,,,,,,
2,1,25/08/12,,Ein Frankfurt,Leverkusen,2,1,H,0,1,A,20,19,4,10,15,22,6,7,1,2,0,0,#N/A,#N/A,"2,80","3,40","2,40","3,00","3,60","2,30","3,00","3,60","2,30","2,65","3,30","2,40","2,88","3,30","2,40","3,05","3,54","2,44","2,80","3,40","2,45","2,88","3,30","2,38","3,00","3,50","2,45","2,80","3,40","2,40","37,00","3,02","2,87","3,53","3,35","2,46","2,4",33,"1,97","1,88","02,01","1,92",21,"0,25","1,83","1,77","2,16","2,12","2,99","3,54","2,48",,,,,,,,,,,,,
3,1,25/08/12,,Freiburg,Mainz,1,1,D,0,0,D,8,8,4,3,14,13,9,8,0,2,0,0,#N/A,#N/A,"2,50","3,30","2,75","2,50","3,20","2,80","2,50","3,20","2,80","2,40","3,30","2,65","2,50","3,30","2,75","2,62","3,41","2,90","2,60","3,20","2,75","2,50","3,25","2,80","2,60","3,40","2,88","2,50","3,30","2,75","37,00","2,62","2,53","3,41","3,26","2,91","2,77",31,"2,13","02,04","1,83","1,76",22,0,"1,88","1,84","02,07",2,"2,78","3,45","2,71",,,,,,,,,,,,,
4,1,25/08/12,,Greuther Furth,Bayern Munich,0,3,A,0,1,A,6,19,2,9,21,13,2,4,2,2,0,0,#N/A,#N/A,"8,50","4,75","1,36","9,25","4,60","1,34","9,25","4,60","1,34","6,50","3,90","1,45","8,00","4,50","1,40","8,69","5,09","1,41","7,50","4,75","1,40","8,00","4,50","1,40","8,50","5,00","1,40","8,00","4,75","1,36","37,00","9,28","8,13","5,1","4,63","1,42","1,38",25,"1,7","1,61","2,38","2,24",21,"1,25","02,03","1,98","1,94","1,89","8,65","4,76","1,44",,,,,,,,,,,,,
5,1,25/08/12,,Hamburg,Nurnberg,0,1,A,0,0,D,11,18,5,8,16,20,9,6,4,2,0,0,#N/A,#N/A,"2,05","3,40","3,50","2,10","3,30","3,40","2,10","3,30","3,40","2,00","3,30","3,30","2,05","3,40","3,50","2,18","3,34","3,82","2,05","3,40","3,60","2,05","3,30","3,50","2,15","3,30","3,75","2,15","3,30","3,30","37,00","2,18","2,10","3,5","3,31","3,85","3,51",33,"02,01","1,93","1,94","1,86",20,"-0,5","2,18","2,12","1,8","1,77","2,4","3,39","3,26",,,,,,,,,,,,,
6,1,25/08/12,,Mgladbach,Hoffenheim,2,1,H,1,0,H,7,14,3,8,9,6,6,4,2,0,0,0,#N/A,#N/A,"1,91","3,40","4,00","2,00","3,30","4,00","2,00","3,30","4,00","1,90","3,30","3,70","1,91","3,40","4,00","2,03","3,61","3,98","1,91","3,50","4,00","1,91","3,40","4,00","2,00","3,60","4,00","1,95","3,40","3,80","37,00","2,06","1,96","3,58","3,38","4,1","3,89",32,"02,06","1,97","1,91","1,83",20,"-0,5","02,05",2,"1,94","1,87","1,98","3,58","4,24",,,,,,,,,,,,,
7,1,25/08/12,,Stuttgart,Wolfsburg,0,1,A,0,0,D,10,13,5,3,16,23,7,6,1,0,0,0,#N/A,#N/A,"2,00","3,50","3,60","2,05","3,60","3,50","2,05","3,60","3,50","1,90","3,30","3,70","2,00","3,30","3,75","2,01","3,65","4,00","2,05","3,60","3,40","2,00","3,40","3,60","2,00","3,60","3,90","2,00","3,40","3,60","32,00","2,05","1,98","3,65","3,44",4,"3,72",27,"1,7","1,65","2,42","2,21",15,"-0,5","02,03","1,98","1,94","1,9","1,98","3,79","3,98",,,,,,,,,,,,,
8,1,26/08/12,,Hannover,Schalke 04,2,2,D,1,0,H,9,15,2,7,12,16,3,6,1,3,0,0,#N/A,#N/A,"2,88","3,40","2,38","2,80","3,40","2,40","2,80","3,40","2,40","2,55","3,25","2,50","2,80","3,40","2,40","2,96","3,52","2,51","2,80","3,50","2,40","2,88","3,25","2,50","2,90","3,50","2,50","2,88","3,30","2,40","31,00","3,00","2,84","3,52","3,35","2,55","2,42",30,"1,92","1,84","02,04","1,95",19,0,"2,14","02,08","1,82","1,77","3,7","3,66","02,09",,,,,,,,,,,,,
9,2,31/08/12,,Mainz,Greuther Furth,0,1,A,0,0,D,11,7,3,2,17,23,8,0,1,3,0,0,11,18,"1,80","3,50","4,50","1,87","3,50","4,33","1,87","3,50","4,33","1,80","3,40","4,00","1,83","3,50","4,33","1,86","3,70","4,70","1,83","3,50","4,33","1,83","3,40","4,33","1,85","3,70","4,60","1,80","3,50","4,33","39,00","1,88","1,83","3,8","3,5","4,7","4,43",34,"02,09","1,98","1,94","1,83",21,"-0,5","1,86","1,84","02,09","02,05","1,85","3,67","4,8","1,70","0,00","1,83","0,00","0,00","0,00","0,00","0,00","0,00","1,83","1,83","0,00","100,00%"
