Team,"Historic Score 

as of 2018/19","Historic score
Feat Scale
as of 2018/19","Average Odds
HomeWin 2019/20",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2018/19","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
small-spread Odds","BIG spread
spec. bets
using ""great Odds""","""SMALL spread
spec. bets
using
small spred odds""",Higher Than Pinnacle,
Aachen,58,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,"-0,711","-0,688","-0,719","-0,533",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Augsburg,323,"1,38","3,97","2,78","3,37","0,29","2,21",,,,,"-4,80","-5,630","-4,795","-2,80","-1,00","-3,80","0,285",15
Bayern Munich,842,"2,00","1,20","1,15","1,17","0,76","1,62",,,,,"-1,66","0,000","-1,67","3,33","0,00","-0,67","-1,755",12
Bielefeld,238,"1,28","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Bochum,294,"1,35","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Braunschweig,57,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Cottbus,164,"1,19","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Darmstadt,93,"1,11","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Dortmund,787,"1,93","1,57","1,36","1,46","0,65","1,80",,,,,"-2,85","-3,000","-2,855","0,14","0,00","-1,86",-1,14
Duisburg,97,"1,12","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
Ein Frankfurt,578,"1,69","2,56","2,02","2,29","0,47","2,01",,,,,"3,29","6,245","3,325","5,33","0,00","4,33","1,4275",15
FC Koln,426,"1,51","3,30","2,23","2,76","0,35","2,18",,,,,"-2,10","-3,125","-2,12","2,88","-1,00","-1,12",-1,12
